"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"На странице ищем вопрос и проверяем, что ответ ему соответствует","3668","Тест для вопроса: Можно ли продлить заказ или вернуть самокат раньше?","tests","Sat Jan 25 13:44:17 GET 2025","passed","Sat Jan 25 13:44:21 GET 2025","TestFAQPage","test_faq","",""
"Оформляем заказ со сгенерированными данными","12131","Тест успешного оформления заказа самоката","tests","Sat Jan 25 13:46:24 GET 2025","passed","Sat Jan 25 13:46:37 GET 2025","TestOrder","test_order","",""
"На странице ищем вопрос и проверяем, что ответ ему соответствует","3938","Тест для вопроса: Можно ли отменить заказ?","tests","Sat Jan 25 13:44:43 GET 2025","passed","Sat Jan 25 13:44:47 GET 2025","TestFAQPage","test_faq","",""
"На странице ищем вопрос и проверяем, что ответ ему соответствует","3562","Тест для вопроса: Хочу сразу несколько самокатов! Так можно?","tests","Sat Jan 25 13:43:40 GET 2025","passed","Sat Jan 25 13:43:43 GET 2025","TestFAQPage","test_faq","",""
"На странице ищем вопрос и проверяем, что ответ ему соответствует","3756","Тест для вопроса: Я жизу за МКАДом, привезёте?","tests","Sat Jan 25 13:44:56 GET 2025","passed","Sat Jan 25 13:45:00 GET 2025","TestFAQPage","test_faq","",""
"На странице ищем кнопку «Заказать» внизу страницы и проверяем переход на страницу заказа","300","Тест для кнопки «Заказать» внизу страницы","tests","Sat Jan 25 13:45:58 GET 2025","passed","Sat Jan 25 13:45:58 GET 2025","TestOrder","test_order","",""
"На странице ищем кнопку «Самокат» вверху страницы и проверяем переход на стартовую страницу","506","Тест для лого «Самокат» вверху страницы","tests","Sat Jan 25 13:46:51 GET 2025","passed","Sat Jan 25 13:46:52 GET 2025","TestOrder","test_order","",""
"На странице ищем вопрос и проверяем, что ответ ему соответствует","3882","Тест для вопроса: Сколько это стоит? И как оплатить?","tests","Sat Jan 25 13:43:27 GET 2025","passed","Sat Jan 25 13:43:30 GET 2025","TestFAQPage","test_faq","",""
"На странице ищем кнопку «Заказать» вверху страницы и проверяем переход на страницу заказа","297","Тест для кнопки «Заказать» вверху страницы","tests","Sat Jan 25 13:45:12 GET 2025","passed","Sat Jan 25 13:45:13 GET 2025","TestOrder","test_order","",""
"На странице ищем кнопку «Яндекс» вверху страницы и проверяем переход на новую вкладку","3013","Тест для лого «Яндекс» вверху страницы","tests","Sat Jan 25 13:47:07 GET 2025","passed","Sat Jan 25 13:47:10 GET 2025","TestOrder","test_order","",""
"На странице ищем вопрос и проверяем, что ответ ему соответствует","3792","Тест для вопроса: Как рассчитывается время аренды?","tests","Sat Jan 25 13:43:52 GET 2025","passed","Sat Jan 25 13:43:56 GET 2025","TestFAQPage","test_faq","",""
"На странице ищем вопрос и проверяем, что ответ ему соответствует","3849","Тест для вопроса: Вы привозите зарядку вместе с самокатом?","tests","Sat Jan 25 13:44:30 GET 2025","passed","Sat Jan 25 13:44:34 GET 2025","TestFAQPage","test_faq","",""
"На странице ищем вопрос и проверяем, что ответ ему соответствует","3770","Тест для вопроса: Можно ли заказать самокат прямо на сегодня?","tests","Sat Jan 25 13:44:05 GET 2025","passed","Sat Jan 25 13:44:09 GET 2025","TestFAQPage","test_faq","",""
"Оформляем заказ со сгенерированными данными","3936","Тест успешного оформления заказа самоката","tests","Sat Jan 25 13:46:09 GET 2025","passed","Sat Jan 25 13:46:13 GET 2025","TestOrder","test_order","",""
